orderId,customerId,email,phone,amount,currency,channel,status,orderDate
O00031-2,C00031,first31.last31@demo-brand01.com,+1-555-010031,32.70,USD,web,completed,2025-10-10T10:08:15.829Z
O00032-1,C00032,first32.last32@demo-brand01.com,+1-555-010032,82.59,USD,web,completed,2025-11-20T10:08:15.829Z
O00033-1,C00033,first33.last33@demo-brand01.com,+1-555-010033,131.95,USD,store,pending,2025-12-02T10:08:15.829Z
O00034-1,C00034,first34.last34@demo-brand01.com,+1-555-010034,129.17,USD,app,pending,2025-10-27T10:08:15.829Z
O00035-1,C00035,first35.last35@demo-brand01.com,+1-555-010035,85.46,USD,app,pending,2025-11-14T10:08:15.829Z
O00036-1,C00036,first36.last36@demo-brand01.com,+1-555-010036,121.07,USD,store,completed,2025-12-02T10:08:15.829Z
O00036-2,C00036,first36.last36@demo-brand01.com,+1-555-010036,163.62,USD,store,completed,2025-11-02T10:08:15.829Z
O00037-1,C00037,first37.last37@demo-brand01.com,+1-555-010037,80.09,USD,store,refunded,2025-10-28T10:08:15.829Z
O00038-1,C00038,first38.last38@demo-brand01.com,+1-555-010038,98.46,USD,web,pending,2025-11-04T10:08:15.829Z
O00038-2,C00038,first38.last38@demo-brand01.com,+1-555-010038,121.27,USD,web,pending,2025-11-16T10:08:15.829Z
O00039-1,C00039,first39.last39@demo-brand01.com,+1-555-010039,138.00,USD,store,completed,2025-11-06T10:08:15.829Z
O00040-1,C00040,first40.last40@demo-brand01.com,+1-555-010040,104.92,USD,store,refunded,2025-11-20T10:08:15.829Z
O00041-1,C00041,first41.last41@demo-brand01.com,+1-555-010041,113.22,USD,app,refunded,2025-10-25T10:08:15.829Z
O00042-1,C00042,first42.last42@demo-brand01.com,+1-555-010042,62.83,USD,web,completed,2025-11-05T10:08:15.829Z
O00042-2,C00042,first42.last42@demo-brand01.com,+1-555-010042,21.89,USD,store,completed,2025-12-05T10:08:15.829Z
O00043-1,C00043,first43.last43@demo-brand01.com,+1-555-010043,134.82,USD,web,pending,2025-10-25T10:08:15.829Z
O00043-2,C00043,first43.last43@demo-brand01.com,+1-555-010043,116.21,USD,web,refunded,2025-10-15T10:08:15.829Z
O00044-1,C00044,first44.last44@demo-brand01.com,+1-555-010044,132.11,USD,web,refunded,2025-11-08T10:08:15.829Z
O00044-2,C00044,first44.last44@demo-brand01.com,+1-555-010044,55.95,USD,app,completed,2025-11-19T10:08:15.829Z
O00045-1,C00045,first45.last45@demo-brand01.com,+1-555-010045,33.39,USD,store,refunded,2025-11-23T10:08:15.829Z
O00046-1,C00046,first46.last46@demo-brand01.com,+1-555-010046,123.59,USD,web,completed,2025-11-05T10:08:15.829Z
O00046-2,C00046,first46.last46@demo-brand01.com,+1-555-010046,84.65,USD,web,pending,2025-10-31T10:08:15.829Z
O00047-1,C00047,first47.last47@demo-brand01.com,+1-555-010047,200.25,USD,app,completed,2025-11-24T10:08:15.829Z
O00048-1,C00048,first48.last48@demo-brand01.com,+1-555-010048,38.25,USD,web,completed,2025-10-11T10:08:15.829Z
O00049-1,C00049,first49.last49@demo-brand01.com,+1-555-010049,95.95,USD,store,completed,2025-10-12T10:08:15.829Z
O00050-1,C00050,first50.last50@demo-brand01.com,+1-555-010050,143.56,USD,web,refunded,2025-10-22T10:08:15.829Z
O00050-2,C00050,first50.last50@demo-brand01.com,+1-555-010050,62.13,USD,store,completed,2025-10-30T10:08:15.829Z
O00051-1,C00051,first51.last51@demo-brand01.com,+1-555-010051,150.92,USD,app,pending,2025-12-02T10:08:15.829Z
O00051-2,C00051,first51.last51@demo-brand01.com,+1-555-010051,196.55,USD,app,refunded,2025-12-05T10:08:15.829Z
O00052-1,C00052,first52.last52@demo-brand01.com,+1-555-010052,67.11,USD,store,completed,2025-11-13T10:08:15.829Z
O00053-1,C00053,first53.last53@demo-brand01.com,+1-555-010053,58.13,USD,store,refunded,2025-12-07T10:08:15.829Z
O00053-2,C00053,first53.last53@demo-brand01.com,+1-555-010053,89.84,USD,web,refunded,2025-10-15T10:08:15.829Z
O00054-1,C00054,first54.last54@demo-brand01.com,+1-555-010054,33.85,USD,app,pending,2025-11-23T10:08:15.829Z
O00055-1,C00055,first55.last55@demo-brand01.com,+1-555-010055,27.61,USD,store,completed,2025-10-11T10:08:15.829Z
O00055-2,C00055,first55.last55@demo-brand01.com,+1-555-010055,111.25,USD,store,pending,2025-11-16T10:08:15.829Z
O00056-1,C00056,first56.last56@demo-brand01.com,+1-555-010056,183.27,USD,web,refunded,2025-10-27T10:08:15.829Z
O00056-2,C00056,first56.last56@demo-brand01.com,+1-555-010056,149.05,USD,web,pending,2025-10-11T10:08:15.829Z
O00057-1,C00057,first57.last57@demo-brand01.com,+1-555-010057,139.87,USD,app,completed,2025-10-14T10:08:15.829Z
O00058-1,C00058,first58.last58@demo-brand01.com,+1-555-010058,77.04,USD,store,pending,2025-11-18T10:08:15.829Z
O00058-2,C00058,first58.last58@demo-brand01.com,+1-555-010058,131.53,USD,app,pending,2025-10-10T10:08:15.829Z
O00059-1,C00059,first59.last59@demo-brand01.com,+1-555-010059,68.28,USD,web,completed,2025-11-04T10:08:15.829Z
O00060-1,C00060,first60.last60@demo-brand01.com,+1-555-010060,32.71,USD,app,refunded,2025-10-21T10:08:15.829Z
O00061-1,C00061,first61.last61@demo-brand01.com,+1-555-010061,89.68,USD,web,pending,2025-11-02T10:08:15.829Z
O00061-2,C00061,first61.last61@demo-brand01.com,+1-555-010061,82.49,USD,store,completed,2025-11-13T10:08:15.829Z
O00062-1,C00062,first62.last62@demo-brand01.com,+1-555-010062,158.58,USD,app,completed,2025-10-31T10:08:15.829Z
O00063-1,C00063,first63.last63@demo-brand01.com,+1-555-010063,121.52,USD,store,completed,2025-10-28T10:08:15.829Z
O00064-1,C00064,first64.last64@demo-brand01.com,+1-555-010064,69.29,USD,store,completed,2025-10-27T10:08:15.829Z
O00064-2,C00064,first64.last64@demo-brand01.com,+1-555-010064,22.87,USD,app,refunded,2025-12-02T10:08:15.829Z
O00065-1,C00065,first65.last65@demo-brand01.com,+1-555-010065,129.35,USD,app,refunded,2025-12-08T10:08:15.829Z
O00065-2,C00065,first65.last65@demo-brand01.com,+1-555-010065,87.65,USD,web,completed,2025-10-21T10:08:15.829Z
O00066-1,C00066,first66.last66@demo-brand01.com,+1-555-010066,113.24,USD,web,refunded,2025-11-25T10:08:15.829Z
O00067-1,C00067,first67.last67@demo-brand01.com,+1-555-010067,124.27,USD,app,completed,2025-11-08T10:08:15.829Z
O00067-2,C00067,first67.last67@demo-brand01.com,+1-555-010067,174.29,USD,app,pending,2025-10-12T10:08:15.829Z
O00068-1,C00068,first68.last68@demo-brand01.com,+1-555-010068,52.71,USD,store,refunded,2025-10-16T10:08:15.829Z
O00069-1,C00069,first69.last69@demo-brand01.com,+1-555-010069,25.95,USD,app,refunded,2025-10-16T10:08:15.829Z
O00070-1,C00070,first70.last70@demo-brand01.com,+1-555-010070,93.80,USD,app,pending,2025-11-24T10:08:15.829Z
O00070-2,C00070,first70.last70@demo-brand01.com,+1-555-010070,200.05,USD,app,pending,2025-11-23T10:08:15.829Z
O00071-1,C00071,first71.last71@demo-brand01.com,+1-555-010071,32.17,USD,web,pending,2025-12-06T10:08:15.829Z
O00071-2,C00071,first71.last71@demo-brand01.com,+1-555-010071,130.98,USD,web,pending,2025-11-04T10:08:15.829Z
O00072-1,C00072,first72.last72@demo-brand01.com,+1-555-010072,165.69,USD,store,refunded,2025-10-24T10:08:15.829Z
O00072-2,C00072,first72.last72@demo-brand01.com,+1-555-010072,179.90,USD,app,refunded,2025-11-08T10:08:15.829Z
O00073-1,C00073,first73.last73@demo-brand01.com,+1-555-010073,130.08,USD,app,refunded,2025-11-22T10:08:15.829Z
O00074-1,C00074,first74.last74@demo-brand01.com,+1-555-010074,105.57,USD,store,completed,2025-10-21T10:08:15.829Z
O00075-1,C00075,first75.last75@demo-brand01.com,+1-555-010075,65.30,USD,app,pending,2025-11-09T10:08:15.829Z
O00075-2,C00075,first75.last75@demo-brand01.com,+1-555-010075,56.44,USD,app,pending,2025-11-05T10:08:15.829Z
O00076-1,C00076,first76.last76@demo-brand01.com,+1-555-010076,143.87,USD,store,completed,2025-11-08T10:08:15.829Z
O00076-2,C00076,first76.last76@demo-brand01.com,+1-555-010076,71.88,USD,web,refunded,2025-11-08T10:08:15.829Z
O00077-1,C00077,first77.last77@demo-brand01.com,+1-555-010077,144.00,USD,store,pending,2025-11-08T10:08:15.829Z
O00078-1,C00078,first78.last78@demo-brand01.com,+1-555-010078,167.44,USD,app,completed,2025-10-31T10:08:15.829Z
O00078-2,C00078,first78.last78@demo-brand01.com,+1-555-010078,105.05,USD,store,refunded,2025-10-16T10:08:15.829Z
O00079-1,C00079,first79.last79@demo-brand01.com,+1-555-010079,96.28,USD,app,pending,2025-11-02T10:08:15.829Z
O00079-2,C00079,first79.last79@demo-brand01.com,+1-555-010079,127.45,USD,app,refunded,2025-11-29T10:08:15.829Z
O00080-1,C00080,first80.last80@demo-brand01.com,+1-555-010080,107.45,USD,store,completed,2025-10-16T10:08:15.829Z
O00081-1,C00081,first81.last81@demo-brand01.com,+1-555-010081,132.29,USD,app,completed,2025-11-17T10:08:15.829Z
O00082-1,C00082,first82.last82@demo-brand01.com,+1-555-010082,200.40,USD,app,refunded,2025-10-19T10:08:15.829Z
O00082-2,C00082,first82.last82@demo-brand01.com,+1-555-010082,86.52,USD,store,refunded,2025-12-07T10:08:15.829Z
O00083-1,C00083,first83.last83@demo-brand01.com,+1-555-010083,92.17,USD,web,refunded,2025-10-17T10:08:15.829Z
O00084-1,C00084,first84.last84@demo-brand01.com,+1-555-010084,136.96,USD,store,completed,2025-10-30T10:08:15.829Z
O00085-1,C00085,first85.last85@demo-brand01.com,+1-555-010085,188.14,USD,app,completed,2025-11-15T10:08:15.829Z
O00085-2,C00085,first85.last85@demo-brand01.com,+1-555-010085,76.52,USD,web,pending,2025-10-22T10:08:15.829Z
O00086-1,C00086,first86.last86@demo-brand01.com,+1-555-010086,171.09,USD,app,pending,2025-10-23T10:08:15.829Z
O00086-2,C00086,first86.last86@demo-brand01.com,+1-555-010086,101.18,USD,web,refunded,2025-11-10T10:08:15.829Z
O00087-1,C00087,first87.last87@demo-brand01.com,+1-555-010087,119.97,USD,web,refunded,2025-11-10T10:08:15.829Z
O00088-1,C00088,first88.last88@demo-brand01.com,+1-555-010088,153.23,USD,web,completed,2025-10-16T10:08:15.829Z
O00088-2,C00088,first88.last88@demo-brand01.com,+1-555-010088,37.84,USD,app,refunded,2025-11-15T10:08:15.829Z
O00089-1,C00089,first89.last89@demo-brand01.com,+1-555-010089,193.49,USD,web,completed,2025-10-11T10:08:15.829Z
O00089-2,C00089,first89.last89@demo-brand01.com,+1-555-010089,83.16,USD,store,completed,2025-11-06T10:08:15.829Z
O00090-1,C00090,first90.last90@demo-brand01.com,+1-555-010090,124.78,USD,store,pending,2025-12-03T10:08:15.829Z
O00090-2,C00090,first90.last90@demo-brand01.com,+1-555-010090,182.35,USD,web,completed,2025-12-04T10:08:15.829Z
O00091-1,C00091,first91.last91@demo-brand01.com,+1-555-010091,135.85,USD,store,refunded,2025-12-04T10:08:15.829Z
O00091-2,C00091,first91.last91@demo-brand01.com,+1-555-010091,27.00,USD,store,refunded,2025-12-07T10:08:15.829Z
O00092-1,C00092,first92.last92@demo-brand01.com,+1-555-010092,169.47,USD,app,completed,2025-11-06T10:08:15.829Z
O00093-1,C00093,first93.last93@demo-brand01.com,+1-555-010093,168.65,USD,store,completed,2025-11-02T10:08:15.829Z
O00093-2,C00093,first93.last93@demo-brand01.com,+1-555-010093,61.04,USD,store,pending,2025-11-15T10:08:15.829Z
O00094-1,C00094,first94.last94@demo-brand01.com,+1-555-010094,113.58,USD,web,pending,2025-12-07T10:08:15.829Z
O00095-1,C00095,first95.last95@demo-brand01.com,+1-555-010095,55.71,USD,web,refunded,2025-11-12T10:08:15.829Z
O00095-2,C00095,first95.last95@demo-brand01.com,+1-555-010095,199.36,USD,store,completed,2025-11-17T10:08:15.829Z
O00096-1,C00096,first96.last96@demo-brand01.com,+1-555-010096,120.91,USD,app,refunded,2025-11-13T10:08:15.829Z
O00096-2,C00096,first96.last96@demo-brand01.com,+1-555-010096,181.13,USD,app,pending,2025-11-08T10:08:15.829Z
O00097-1,C00097,first97.last97@demo-brand01.com,+1-555-010097,156.30,USD,store,refunded,2025-10-13T10:08:15.829Z
O00097-2,C00097,first97.last97@demo-brand01.com,+1-555-010097,166.74,USD,web,completed,2025-10-09T10:08:15.829Z
O00098-1,C00098,first98.last98@demo-brand01.com,+1-555-010098,197.02,USD,app,pending,2025-10-21T10:08:15.829Z
O00098-2,C00098,first98.last98@demo-brand01.com,+1-555-010098,153.76,USD,web,completed,2025-11-01T10:08:15.829Z
O00099-1,C00099,first99.last99@demo-brand01.com,+1-555-010099,124.21,USD,app,pending,2025-11-23T10:08:15.829Z
O00100-1,C00100,first100.last100@demo-brand01.com,+1-555-010100,70.75,USD,app,pending,2025-11-20T10:08:15.829Z
O00100-2,C00100,first100.last100@demo-brand01.com,+1-555-010100,29.54,USD,web,refunded,2025-11-22T10:08:15.829Z
O00101-1,C00101,first101.last101@demo-brand01.com,+1-555-010101,50.53,USD,app,pending,2025-11-27T10:08:15.829Z
O00102-1,C00102,first102.last102@demo-brand01.com,+1-555-010102,97.01,USD,store,completed,2025-10-09T10:08:15.829Z
O00102-2,C00102,first102.last102@demo-brand01.com,+1-555-010102,49.49,USD,web,pending,2025-10-12T10:08:15.829Z
O00103-1,C00103,first103.last103@demo-brand01.com,+1-555-010103,70.33,USD,store,refunded,2025-11-04T10:08:15.829Z
O00104-1,C00104,first104.last104@demo-brand01.com,+1-555-010104,24.41,USD,store,pending,2025-10-23T10:08:15.829Z
O00105-1,C00105,first105.last105@demo-brand01.com,+1-555-010105,82.05,USD,store,completed,2025-10-29T10:08:15.829Z
O00105-2,C00105,first105.last105@demo-brand01.com,+1-555-010105,127.49,USD,app,completed,2025-11-05T10:08:15.829Z
O00106-1,C00106,first106.last106@demo-brand01.com,+1-555-010106,61.29,USD,store,completed,2025-10-22T10:08:15.829Z
O00106-2,C00106,first106.last106@demo-brand01.com,+1-555-010106,54.10,USD,store,completed,2025-11-16T10:08:15.829Z
O00107-1,C00107,first107.last107@demo-brand01.com,+1-555-010107,25.90,USD,store,completed,2025-11-17T10:08:15.829Z
O00107-2,C00107,first107.last107@demo-brand01.com,+1-555-010107,175.93,USD,store,pending,2025-11-04T10:08:15.829Z
O00108-1,C00108,first108.last108@demo-brand01.com,+1-555-010108,23.71,USD,web,completed,2025-11-18T10:08:15.829Z
O00108-2,C00108,first108.last108@demo-brand01.com,+1-555-010108,188.38,USD,web,completed,2025-10-17T10:08:15.829Z
O00109-1,C00109,first109.last109@demo-brand01.com,+1-555-010109,75.94,USD,store,pending,2025-10-22T10:08:15.829Z
O00109-2,C00109,first109.last109@demo-brand01.com,+1-555-010109,20.59,USD,store,pending,2025-11-21T10:08:15.829Z
O00110-1,C00110,first110.last110@demo-brand01.com,+1-555-010110,92.20,USD,app,refunded,2025-10-25T10:08:15.829Z
O00111-1,C00111,first111.last111@demo-brand01.com,+1-555-010111,31.97,USD,web,completed,2025-11-03T10:08:15.829Z
O00111-2,C00111,first111.last111@demo-brand01.com,+1-555-010111,115.59,USD,web,pending,2025-12-02T10:08:15.829Z
O00112-1,C00112,first112.last112@demo-brand01.com,+1-555-010112,25.27,USD,app,pending,2025-10-24T10:08:15.829Z
O00112-2,C00112,first112.last112@demo-brand01.com,+1-555-010112,101.29,USD,web,pending,2025-12-06T10:08:15.829Z
O00113-1,C00113,first113.last113@demo-brand01.com,+1-555-010113,96.06,USD,web,refunded,2025-10-14T10:08:15.829Z
O00114-1,C00114,first114.last114@demo-brand01.com,+1-555-010114,145.44,USD,app,refunded,2025-11-22T10:08:15.829Z
O00115-1,C00115,first115.last115@demo-brand01.com,+1-555-010115,94.82,USD,web,pending,2025-11-03T10:08:15.829Z
O00116-1,C00116,first116.last116@demo-brand01.com,+1-555-010116,28.31,USD,store,refunded,2025-11-12T10:08:15.829Z
O00116-2,C00116,first116.last116@demo-brand01.com,+1-555-010116,174.55,USD,app,completed,2025-11-30T10:08:15.829Z
O00117-1,C00117,first117.last117@demo-brand01.com,+1-555-010117,157.28,USD,store,completed,2025-11-28T10:08:15.829Z
O00118-1,C00118,first118.last118@demo-brand01.com,+1-555-010118,35.55,USD,app,refunded,2025-11-09T10:08:15.829Z
O00119-1,C00119,first119.last119@demo-brand01.com,+1-555-010119,40.51,USD,store,completed,2025-10-21T10:08:15.829Z
O00119-2,C00119,first119.last119@demo-brand01.com,+1-555-010119,139.11,USD,web,pending,2025-10-21T10:08:15.829Z
O00120-1,C00120,first120.last120@demo-brand01.com,+1-555-010120,54.65,USD,app,completed,2025-10-19T10:08:15.829Z
O00120-2,C00120,first120.last120@demo-brand01.com,+1-555-010120,54.72,USD,web,refunded,2025-10-27T10:08:15.829Z
O00121-1,C00121,first121.last121@demo-brand01.com,+1-555-010121,182.76,USD,app,completed,2025-10-15T10:08:15.829Z
O00121-2,C00121,first121.last121@demo-brand01.com,+1-555-010121,132.51,USD,store,completed,2025-11-19T10:08:15.829Z
O00122-1,C00122,first122.last122@demo-brand01.com,+1-555-010122,49.06,USD,web,pending,2025-10-13T10:08:15.829Z
O00122-2,C00122,first122.last122@demo-brand01.com,+1-555-010122,118.06,USD,app,refunded,2025-11-02T10:08:15.829Z
O00123-1,C00123,first123.last123@demo-brand01.com,+1-555-010123,42.55,USD,web,refunded,2025-11-29T10:08:15.829Z
O00123-2,C00123,first123.last123@demo-brand01.com,+1-555-010123,136.77,USD,web,completed,2025-11-15T10:08:15.829Z
O00124-1,C00124,first124.last124@demo-brand01.com,+1-555-010124,147.89,USD,store,pending,2025-11-16T10:08:15.829Z
O00125-1,C00125,first125.last125@demo-brand01.com,+1-555-010125,169.02,USD,store,completed,2025-11-13T10:08:15.829Z
O00126-1,C00126,first126.last126@demo-brand01.com,+1-555-010126,147.77,USD,web,refunded,2025-11-11T10:08:15.829Z
O00127-1,C00127,first127.last127@demo-brand01.com,+1-555-010127,45.26,USD,web,refunded,2025-11-25T10:08:15.829Z
O00127-2,C00127,first127.last127@demo-brand01.com,+1-555-010127,67.06,USD,app,completed,2025-11-08T10:08:15.829Z
O00128-1,C00128,first128.last128@demo-brand01.com,+1-555-010128,161.70,USD,web,completed,2025-11-20T10:08:15.829Z
O00128-2,C00128,first128.last128@demo-brand01.com,+1-555-010128,144.80,USD,web,completed,2025-12-06T10:08:15.829Z
O00129-1,C00129,first129.last129@demo-brand01.com,+1-555-010129,48.87,USD,app,pending,2025-11-02T10:08:15.829Z
O00129-2,C00129,first129.last129@demo-brand01.com,+1-555-010129,94.96,USD,app,pending,2025-10-24T10:08:15.829Z
O00130-1,C00130,first130.last130@demo-brand01.com,+1-555-010130,200.21,USD,store,refunded,2025-11-19T10:08:15.829Z
O00131-1,C00131,first131.last131@demo-brand01.com,+1-555-010131,144.94,USD,store,pending,2025-11-21T10:08:15.829Z
O00131-2,C00131,first131.last131@demo-brand01.com,+1-555-010131,25.70,USD,store,completed,2025-11-16T10:08:15.829Z
O00132-1,C00132,first132.last132@demo-brand01.com,+1-555-010132,118.50,USD,store,refunded,2025-11-27T10:08:15.829Z
O00133-1,C00133,first133.last133@demo-brand01.com,+1-555-010133,68.19,USD,app,pending,2025-11-26T10:08:15.829Z
O00134-1,C00134,first134.last134@demo-brand01.com,+1-555-010134,173.77,USD,store,completed,2025-10-15T10:08:15.829Z
O00134-2,C00134,first134.last134@demo-brand01.com,+1-555-010134,67.26,USD,app,completed,2025-11-28T10:08:15.829Z
O00135-1,C00135,first135.last135@demo-brand01.com,+1-555-010135,121.67,USD,app,completed,2025-11-14T10:08:15.829Z
O00136-1,C00136,first136.last136@demo-brand01.com,+1-555-010136,31.04,USD,store,refunded,2025-11-26T10:08:15.829Z
O00136-2,C00136,first136.last136@demo-brand01.com,+1-555-010136,118.07,USD,web,pending,2025-11-03T10:08:15.829Z
O00137-1,C00137,first137.last137@demo-brand01.com,+1-555-010137,84.13,USD,web,refunded,2025-11-01T10:08:15.829Z
O00137-2,C00137,first137.last137@demo-brand01.com,+1-555-010137,37.33,USD,store,refunded,2025-11-11T10:08:15.829Z
O00138-1,C00138,first138.last138@demo-brand01.com,+1-555-010138,143.19,USD,store,refunded,2025-12-03T10:08:15.829Z
O00138-2,C00138,first138.last138@demo-brand01.com,+1-555-010138,56.87,USD,app,refunded,2025-12-02T10:08:15.829Z
O00139-1,C00139,first139.last139@demo-brand01.com,+1-555-010139,20.23,USD,web,completed,2025-10-31T10:08:15.829Z
O00140-1,C00140,first140.last140@demo-brand01.com,+1-555-010140,90.46,USD,app,pending,2025-12-08T10:08:15.829Z
O00141-1,C00141,first141.last141@demo-brand01.com,+1-555-010141,168.35,USD,store,refunded,2025-10-19T10:08:15.829Z
O00141-2,C00141,first141.last141@demo-brand01.com,+1-555-010141,125.68,USD,web,refunded,2025-12-04T10:08:15.829Z
O00142-1,C00142,first142.last142@demo-brand01.com,+1-555-010142,197.07,USD,store,refunded,2025-11-29T10:08:15.829Z
O00142-2,C00142,first142.last142@demo-brand01.com,+1-555-010142,38.16,USD,app,refunded,2025-11-02T10:08:15.829Z
O00143-1,C00143,first143.last143@demo-brand01.com,+1-555-010143,49.94,USD,app,completed,2025-11-23T10:08:15.829Z
O00143-2,C00143,first143.last143@demo-brand01.com,+1-555-010143,46.82,USD,web,refunded,2025-10-10T10:08:15.829Z
O00144-1,C00144,first144.last144@demo-brand01.com,+1-555-010144,146.75,USD,app,refunded,2025-11-09T10:08:15.829Z
O00144-2,C00144,first144.last144@demo-brand01.com,+1-555-010144,42.55,USD,web,refunded,2025-12-06T10:08:15.829Z
O00145-1,C00145,first145.last145@demo-brand01.com,+1-555-010145,79.79,USD,app,pending,2025-10-28T10:08:15.829Z
